bC	FB	rho	time	Z1	Z2	X1	XC	A	M
0.01	1	0.0105	504.1705899532158	16655.294807440965	1.831885965455029	9999.116585876352	1017.041641598554	82.90824348278335	1010.5969114794068	NaN
0.01	1	0.0105	504.232180873774	16654.978456573892	1.8322844158114604	9999.079532950409	1017.2434298570538	82.91487312956916	1010.6439563181117	NaN
0.01	1	0.0105	504.2940850291877	16654.65674978679	1.83268302634927	9999.041339529093	1017.4449715096978	82.90741359781467	1010.691280504554	NaN
0.01	1	0.0105	504.356295390959	16654.329691039446	1.8330817344415844	9999.00198758873	1017.6462318285643	82.8861109262216	1010.7401819987648	NaN
0.01	1	0.0105	504.418797670502	16653.997325109893	1.8334804322055136	9998.961464140059	1017.8471534713808	82.85134498689227	1010.7919422174627	NaN
0.01	1	0.0105	504.4815707371786	16653.659737515278	1.8338789702394336	9998.91976154805	1018.0476585557111	82.80363422903383	1010.8478103420974	NaN
0.01	1	0.0105	504.54458756779525	16653.31705136045	1.8342771646297695	9998.876877465806	1018.2476523592621	82.74363656097773	1010.9089864104775	NaN
0.01	1	0.0105	504.6078167693805	16652.969420656347	1.8346748073762336	9998.832814288637	1018.4470287003904	82.67214540592293	1010.9766042493628	NaN
0.01	1	0.0105	504.6712244986759	16652.617020853326	1.8350716790119297	9998.787578183714	1018.6456763648567	82.59008057467831	1011.0517153732393	NaN
0.01	1	0.0105	504.73477658189205	16652.260037535798	1.8354675621153385	9998.741177786684	1018.8434859133167	82.49847427499164	1011.1352749758612	NaN
0.01	1	0.0105	504.79844059694034	16651.89865455915	1.8358622542046192	9998.69362271346	1019.0403561101234	82.39845324019178	1011.2281308828632	NaN
0.01	1	0.0105	504.86218771145684	16651.533042847506	1.8362555787546373	9998.644922044197	1019.2361993491762	82.29121839799419	1011.3310159559462	NaN
0.01	1	0.0105	504.9259940808338	16651.163351107287	1.8366473931939296	9998.59508295752	1019.4309455198231	82.17802374148825	1011.4445439209156	NaN
0.01	1	0.0105	504.98984181477937	16650.789698601075	1.8370375940303199	9998.544109557248	1019.6245444045935	82.06015571996488	1011.5692084105444	NaN
0.01	1	0.0105	505.0537194173691	16650.4121707342	1.8374261186222673	9998.49200202022	1019.8169663873665	81.93891442234457	1011.7053844741018	NaN
0.01	1	0.0105	505.1176218682644	16650.030816670384	1.8378129447195184	9998.438755987556	1020.0082020478203	81.815597039899	1011.8533320530389	NaN
0.01	1	0.0105	505.181550299528	16649.645649400878	1.838198087573675	9998.384362282946	1020.1982605579497	81.69148412734978	1012.0132004559027	NaN
0.01	1	0.0105	505.245511476622	16649.25664715433	1.838581595947788	9998.328806825863	1020.3871675501856	81.56782839292171	1012.1850334413273	NaN
0.01	1	0.0105	505.3095170793306	16648.86375624802	1.838963547037226	9998.27207076918	1020.5749624703163	81.44584590405766	1012.3687742066132	NaN
0.01	1	0.0105	505.3735829246191	16648.46689457012	1.8393440411805042	9998.214130757968	1020.7616958531547	81.32670915476272	1012.5642700966239	NaN
0.01	1	0.0105	505.43772808486796	16648.06595600106	1.8397231960938036	9998.15495936178	1020.9474263922447	81.21154170897316	1012.7712765203966	NaN
0.01	1	0.0105	505.501974069589	16647.660814742812	1.8401011416330986	9998.094525535647	1021.1322182973221	81.10141369569642	1012.9894603501801	NaN
0.01	1	0.0105	505.56634395727747	16647.251330248302	1.8404780144061967	9998.032795213201	1021.3161386060751	80.99733796870686	1013.21840238487	NaN
0.01	1	0.0105	505.6308616398437	16646.83735171739	1.840853953186011	9997.969731879897	1021.4992549144794	80.90026628792299	1013.4575994493617	NaN
0.01	1	0.0105	505.6955510309396	16646.41872307685	1.8412290942406526	9997.905297263156	1021.6816330914104	80.81108547835531	1013.706465759625	NaN
0.01	1	0.0105	505.76043540568065	16645.995287356458	1.841603567550093	9997.839451974682	1021.8633354486358	80.73061307315848	1013.9643343544734	NaN
0.01	1	0.0105	505.82553675366523	16645.566891188144	1.841977493206007	9997.772156212945	1022.0444190205982	80.65959249042766	1014.2304584322306	NaN
0.01	1	0.0105	505.8908752294088	16645.13338886065	1.8423509784712124	9997.703370436944	1022.2249341833525	80.59868756938411	1014.5040131980949	NaN
0.01	1	0.0105	505.95646867410585	16644.694646066542	1.8427241153315148	9997.633056028488	1022.4049235282538	80.54847654990398	1014.7840984329778	NaN
0.01	1	0.0105	506.0223321830626	16644.25054348752	1.8430969783812807	9997.56117596371	1022.584420911299	80.50944562769237	1015.0697419607429	NaN
0.01	1	0.0105	506.08847780333673	16643.800979623644	1.843469623509182	9997.487695394719	1022.7634509002254	80.48198221667887	1015.3599046388482	NaN
0.01	1	0.0105	506.15491424633854	16643.34587360981	1.8438420867147836	9997.412582256613	1022.942028293752	80.4663682623868	1015.653486596603	NaN
0.01	1	0.0105	506.2216467191989	16642.885167294473	1.8442143836310345	9997.335807778634	1023.1201579872688	80.46277384386923	1015.9493353238695	NaN
0.01	1	0.0105	506.28867678176425	16642.418827186404	1.8445865092142533	9997.257346993887	1023.2978349235383	80.4712514429731	1016.2462552889949	NaN
0.01	1	0.0105	506.3560022677533	16641.946845988532	1.8449584378090873	9997.177179198407	1023.4750442261475	80.49173119645104	1016.5430192615901	NaN
0.01	1	0.0105	506.4236172693797	16641.469243699303	1.8453301235722623	9997.09528835163	1023.6517615054659	80.52401748126672	1016.8383812665555	NaN
0.01	1	0.0105	506.4915121439495	16640.98606855368	1.8457015010163593	9997.011663460724	1023.8279532213813	80.56778713674802	1017.1310908351691	NaN
0.01	1	0.0105	506.55967363547813	16640.497397125102	1.8460724861741948	9996.926298827757	1024.00357733856	80.6225896592221	1017.4199087253226	NaN
0.01	1	0.0105	506.6280850881717	16640.003333712804	1.8464429782363179	9996.839194171995	1024.1785841999745	80.68784965154894	1017.7036236719989	NaN
0.01	1	0.0105	506.6967267727844	16639.504008826276	1.8468128617566655	9996.750354585325	1024.352917659671	80.76287175232532	1017.9810698316995	NaN
0.01	1	0.0105	506.765576396607	16638.99957620474	1.8471820097829788	9996.659790208749	1024.5265166377123	80.84684825663899	1018.2511446882379	NaN
0.01	1	0.0105	506.83460981732276	16638.49020815493	1.847550287984866	9996.567515573515	1024.6993171241097	80.93886951177281	1018.5128268687523	NaN
0.01	1	0.0105	506.90380191503664	16637.976089475203	1.8479175594995862	9996.473548636626	1024.8712544927894	81.03793693059586	1018.7651930141955	NaN
0.01	1	0.0105	506.9731276294544	16637.457409859453	1.8482836905036435	9996.377909474715	1025.0422661233015	81.14297834540854	1019.0074330771625	NaN
0.01	1	0.0105	507.0425631126308	16636.934355101082	1.8486485562212738	9996.280618678846	1025.2122941896203	81.25286518676988	1019.2388632742517	NaN
0.01	1	0.0105	507.1120868865897	16636.40709790473	1.849012046773669	9996.181695589074	1025.3812883351882	81.36643071631671	1019.4589358857768	NaN
0.01	1	0.0105	507.18168094552726	16635.87578877396	1.8493740725584742	9996.081156453845	1025.5492080909796	81.48248851543276	1019.6672455250838	NaN
0.01	1	0.0105	507.25133170207914	16635.3405477784	1.8497345686544682	9995.97901266978	1025.7160248062057	81.59985035535223	1019.8635316332154	NaN
0.01	1	0.0105	507.3210307575394	16634.801457419657	1.8500934981802453	9995.875269155003	1025.8817230659474	81.7173427738734	1020.0476774593943	NaN
0.01	1	0.0105	507.39077539056495	16634.258557488443	1.850450854103056	9995.769923043086	1026.04630137173	81.83382167952267	1020.2197057485138	NaN
0.01	1	0.0105	507.4605688501413	16633.711841341803	1.8508066599872728	9995.662962608401	1026.2097723214467	81.94818480658728	1020.3797720199656	NaN
0.01	1	0.0105	507.5304203272441	16633.16125466354	1.8511609690836262	9995.5543666497	1026.3721620225974	82.0593816872833	1020.5281558158991	NaN
