pt	FB	rho	time	Z1	Z2	X1	XC	A	M
1.05	0	0.10500000000000001	803.0193178398501	10.881540398015247	2757.5046413291107	6.929079023071299	1049.999999999994	83.41989466253308	1043.123499845903	NaN
1.05	0	0.10500000000000001	803.4320122651968	10.857252706907111	2763.6707700182046	6.912604158480538	1049.999999999994	83.41989466253315	1043.123499845903	NaN
1.05	0	0.10500000000000001	803.8465532000541	10.832964847479278	2769.8645961816346	6.896134330306378	1049.999999999994	83.41989466253314	1043.1234998459029	NaN
1.05	0	0.10500000000000001	804.2629585184043	10.808676505052716	2776.086387614459	6.879669320056557	1049.999999999994	83.4198946625331	1043.1234998459029	NaN
1.05	0	0.10500000000000001	804.6812463445914	10.784387362589921	2782.336415864803	6.863208907920152	1049.999999999994	83.41989466253298	1043.1234998459026	NaN
1.05	0	0.10500000000000001	805.1014350848072	10.760097099100449	2788.6149567045504	6.846752871689308	1049.999999999994	83.41989466253287	1043.1234998459026	NaN
1.05	0	0.10500000000000001	805.5235433188651	10.735805396115525	2794.9222885124327	6.830300991147022	1049.999999999994	83.41989466253276	1043.1234998459024	NaN
1.05	0	0.10500000000000001	805.9475899433723	10.711511929622421	2801.2586944135473	6.813853042603786	1049.999999999994	83.41989466253258	1043.1234998459022	NaN
1.05	0	0.10500000000000001	806.373594148138	10.687216371708539	2807.624461927117	6.797408800015335	1049.999999999994	83.41989466253231	1043.1234998459024	NaN
1.05	0	0.10500000000000001	806.8015753920113	10.662918392198716	2814.0198826057053	6.78096803609374	1049.999999999994	83.41989466253229	1043.1234998459024	NaN
1.05	0	0.10500000000000001	807.231553378133	10.638617660286117	2820.445251665619	6.764530523412077	1049.9999999999943	83.41989466253217	1043.1234998459024	NaN
1.05	0	0.10500000000000001	807.6635481435585	10.614313839703039	2826.9008693264177	6.748096031139394	1049.9999999999943	83.41989466253206	1043.1234998459026	NaN
1.05	0	0.10500000000000001	808.0975799776955	10.59000659359251	2833.387039592362	6.731664328338438	1049.9999999999943	83.41989466253202	1043.1234998459029	NaN
1.05	0	0.10500000000000001	808.5336694548512	10.565695582905539	2839.9040707390077	6.715235182882654	1049.9999999999943	83.41989466253209	1043.1234998459033	NaN
1.05	0	0.10500000000000001	808.9718375258452	10.541380461575846	2846.4522766825885	6.698808358198503	1049.9999999999943	83.41989466253247	1043.1234998459036	NaN
1.05	0	0.10500000000000001	809.4121053481258	10.517060886243762	2853.0319744414655	6.682383619838323	1049.9999999999945	83.41989466253291	1043.1234998459036	NaN
1.05	0	0.10500000000000001	809.8544944650232	10.492736506565494	2859.6434868152473	6.665960728935122	1049.9999999999945	83.41989466253303	1043.1234998459036	NaN
1.05	0	0.10500000000000001	810.2990267526719	10.468406968479643	2866.2871415918908	6.649539444413592	1049.9999999999945	83.41989466253307	1043.1234998459033	NaN
1.05	0	0.10500000000000001	810.7457243656088	10.444071917462066	2872.963270734925	6.6331195251892545	1049.9999999999945	83.41989466253295	1043.1234998459033	NaN
1.05	0	0.10500000000000001	811.1946097706268	10.419730996921347	2879.6722108896556	6.616700729086162	1049.9999999999945	83.41989466253291	1043.1234998459033	NaN
1.05	0	0.10500000000000001	811.6457058414799	10.395383843366547	2886.4143047988946	6.600282809580464	1049.9999999999945	83.4198946625328	1043.1234998459033	NaN
1.05	0	0.10500000000000001	812.0990357447088	10.371030092910418	2893.189899596872	6.583865520190211	1049.9999999999945	83.41989466253278	1043.123499845903	NaN
1.05	0	0.10500000000000001	812.554623034843	10.346669376428483	2899.999348232402	6.5674486112133765	1049.9999999999945	83.41989466253268	1043.123499845903	NaN
1.05	0	0.10500000000000001	813.0124915691081	10.322301324442208	2906.843008194392	6.551031833021977	1049.9999999999945	83.41989466253264	1043.1234998459033	NaN
1.05	0	0.10500000000000001	813.4726656343521	10.297925560656518	2913.721243409266	6.53461493171013	1049.9999999999945	83.4198946625327	1043.1234998459033	NaN
1.05	0	0.10500000000000001	813.9351698308778	10.27354170847076	2920.6344225049666	6.5181976534836075	1049.9999999999948	83.41989466253274	1043.1234998459033	NaN
1.05	0	0.10500000000000001	814.4000292008155	10.24914938451176	2927.5829207300717	6.501779740307538	1049.9999999999948	83.41989466253266	1043.123499845903	NaN
1.05	0	0.10500000000000001	814.8672691109375	10.22474820514931	2934.5671182025376	6.485360934296256	1049.9999999999948	83.41989466253243	1043.1234998459033	NaN
1.05	0	0.10500000000000001	815.3369153512502	10.200337781645501	2941.5874013837238	6.468940974450708	1049.9999999999948	83.41989466253241	1043.1234998459033	NaN
1.05	0	0.10500000000000001	815.8089941418299	10.175917720182976	2948.6441631809553	6.452519596682202	1049.9999999999948	83.41989466253243	1043.1234998459033	NaN
1.05	0	0.10500000000000001	816.2835320766135	10.151487625137992	2955.737802107663	6.436096536017104	1049.9999999999948	83.41989466253241	1043.1234998459033	NaN
1.05	0	0.10500000000000001	816.760556129184	10.127047099098487	2962.868722370181	6.419671526610356	1049.9999999999948	83.41989466253243	1043.1234998459033	NaN
1.05	0	0.10500000000000001	817.2400937544411	10.102595738010486	2970.037335387948	6.403244298486551	1049.9999999999948	83.41989466253241	1043.1234998459033	NaN
1.05	0	0.10500000000000001	817.7221728645463	10.078133132835681	2977.2440594343516	6.386814578659383	1049.9999999999948	83.41989466253243	1043.1234998459033	NaN
1.05	0	0.10500000000000001	818.2068217719111	10.053658872830376	2984.489318784818	6.370382093337542	1049.9999999999948	83.41989466253241	1043.1234998459033	NaN
