tspan	bP	bD	bI	CoRaDyn(bC)
500.0	0.4375	0.26666666666666666	0.02	0.050914745621106636
500.0	0.4583333333333333	0.26666666666666666	0.02	0.05070334691106296
500.0	0.4791666666666667	0.26666666666666666	0.02	0.08999827436159563
500.0	0.5	0.26666666666666666	0.02	0.4019659981604198
500.0	0.0	0.3	0.02	0.07609735394823731
500.0	0.020833333333333332	0.3	0.02	0.07432817241189012
500.0	0.041666666666666664	0.3	0.02	0.07263639935965545
500.0	0.0625	0.3	0.02	0.07101839280912095
500.0	0.08333333333333333	0.3	0.02	0.06947080275171678
500.0	0.10416666666666667	0.3	0.02	0.06798840956505173
500.0	0.125	0.3	0.02	0.06656905517576589
500.0	0.14583333333333334	0.3	0.02	0.06520646189972659
500.0	0.16666666666666666	0.3	0.02	0.06390033687346233
500.0	0.1875	0.3	0.02	0.06264623696352749
500.0	0.20833333333333334	0.3	0.02	0.0614426070875306
500.0	0.22916666666666666	0.3	0.02	0.06028607115429645
500.0	0.25	0.3	0.02	0.059177353824438436
500.0	0.2708333333333333	0.3	0.02	0.05811118840113805
500.0	0.2916666666666667	0.3	0.02	0.05708756515975615
500.0	0.3125	0.3	0.02	0.05610586694699802
500.0	0.3333333333333333	0.3	0.02	0.055166591656091155
500.0	0.3541666666666667	0.3	0.02	0.054266171700839035
500.0	0.375	0.3	0.02	0.053408530338544126
500.0	0.3958333333333333	0.3	0.02	0.05258814615188926
500.0	0.4166666666666667	0.3	0.02	0.05181524304992468
500.0	0.4375	0.3	0.02	0.05141517174892889
500.0	0.4583333333333333	0.3	0.02	0.07587440193296702
500.0	0.4791666666666667	0.3	0.02	0.3625581420475509
500.0	0.5	0.3	0.02	NaN
500.0	0.0	0.3333333333333333	0.02	0.07607984702613776
500.0	0.020833333333333332	0.3333333333333333	0.02	0.07431956223523113
500.0	0.041666666666666664	0.3333333333333333	0.02	0.07263640368738089
500.0	0.0625	0.3333333333333333	0.02	0.07102780671718764
500.0	0.08333333333333333	0.3333333333333333	0.02	0.0694895830776091
500.0	0.10416666666666667	0.3333333333333333	0.02	0.06801574792728718
500.0	0.125	0.3333333333333333	0.02	0.0666021853363521
500.0	0.14583333333333334	0.3333333333333333	0.02	0.06524815946205371
500.0	0.16666666666666666	0.3333333333333333	0.02	0.06394864302727368
500.0	0.1875	0.3333333333333333	0.02	0.06270314321511565
500.0	0.20833333333333334	0.3333333333333333	0.02	0.06150643333413203
500.0	0.22916666666666666	0.3333333333333333	0.02	0.06035663988410176
500.0	0.25	0.3333333333333333	0.02	0.05925479253627887
500.0	0.2708333333333333	0.3333333333333333	0.02	0.05819815846947213
500.0	0.2916666666666667	0.3333333333333333	0.02	0.05718337581689773
500.0	0.3125	0.3333333333333333	0.02	0.0562110005560657
500.0	0.3333333333333333	0.3333333333333333	0.02	0.0552843232313739
500.0	0.3541666666666667	0.3333333333333333	0.02	0.0543969282938117
500.0	0.375	0.3333333333333333	0.02	0.05354916800818683
500.0	0.3958333333333333	0.3333333333333333	0.02	0.05274347881628876
500.0	0.4166666666666667	0.3333333333333333	0.02	0.052203076881505155
500.0	0.4375	0.3333333333333333	0.02	0.06609478149622135
500.0	0.4583333333333333	0.3333333333333333	0.02	0.32313475335419856
500.0	0.4791666666666667	0.3333333333333333	0.02	0.7154881969239816
500.0	0.5	0.3333333333333333	0.02	NaN
500.0	0.0	0.36666666666666664	0.02	0.07607166318499992
500.0	0.020833333333333332	0.36666666666666664	0.02	0.0743211532578238
500.0	0.041666666666666664	0.36666666666666664	0.02	0.07264588722361037
500.0	0.0625	0.36666666666666664	0.02	0.0710446084778699
500.0	0.08333333333333333	0.36666666666666664	0.02	0.0695150485714645
500.0	0.10416666666666667	0.36666666666666664	0.02	0.06804985447597311
500.0	0.125	0.36666666666666664	0.02	0.06664631603421615
500.0	0.14583333333333334	0.36666666666666664	0.02	0.06529823721444564
500.0	0.16666666666666666	0.36666666666666664	0.02	0.06400715723802466
500.0	0.1875	0.36666666666666664	0.02	0.06276532040848182
500.0	0.20833333333333334	0.36666666666666664	0.02	0.06157867330572682
500.0	0.22916666666666666	0.36666666666666664	0.02	0.06043718899274518
500.0	0.25	0.36666666666666664	0.02	0.05934251308797464
500.0	0.2708333333333333	0.36666666666666664	0.02	0.05829489309008108
500.0	0.2916666666666667	0.36666666666666664	0.02	0.05729061106277849
500.0	0.3125	0.36666666666666664	0.02	0.056329867258864345
500.0	0.3333333333333333	0.36666666666666664	0.02	0.055412805807528824
500.0	0.3541666666666667	0.36666666666666664	0.02	0.054538472293409794
500.0	0.375	0.36666666666666664	0.02	0.053700472059453504
500.0	0.3958333333333333	0.36666666666666664	0.02	0.05305133029858929
500.0	0.4166666666666667	0.36666666666666664	0.02	0.059363478227463545
500.0	0.4375	0.36666666666666664	0.02	0.2839935480639855
500.0	0.4583333333333333	0.36666666666666664	0.02	0.682669696245907
500.0	0.4791666666666667	0.36666666666666664	0.02	NaN
500.0	0.5	0.36666666666666664	0.02	NaN
500.0	0.0	0.4	0.02	0.0760707372446191
500.0	0.020833333333333332	0.4	0.02	0.074328659959187
500.0	0.041666666666666664	0.4	0.02	0.07266421199521095
500.0	0.0625	0.4	0.02	0.07107359547602063
500.0	0.08333333333333333	0.4	0.02	0.06954885552457342
500.0	0.10416666666666667	0.4	0.02	0.0680906769685526
500.0	0.125	0.4	0.02	0.06669132407441673
500.0	0.14583333333333334	0.4	0.02	0.06535470153215396
500.0	0.16666666666666666	0.4	0.02	0.06407087841973944
500.0	0.1875	0.4	0.02	0.06283706440268401
500.0	0.20833333333333334	0.4	0.02	0.061656318552184584
500.0	0.22916666666666666	0.4	0.02	0.06052525244032241
500.0	0.25	0.4	0.02	0.05943857029700663
500.0	0.2708333333333333	0.4	0.02	0.05840241864725532
500.0	0.2916666666666667	0.4	0.02	0.05740813818130802
500.0	0.3125	0.4	0.02	0.05646112794857508
500.0	0.3333333333333333	0.4	0.02	0.05555579042310212
500.0	0.3541666666666667	0.4	0.02	0.054686697235045226
500.0	0.375	0.4	0.02	0.05395165883301384
500.0	0.3958333333333333	0.4	0.02	0.05615522745326338
500.0	0.4166666666666667	0.4	0.02	0.24554257048271583
500.0	0.4375	0.4	0.02	0.6458525696508669
500.0	0.4583333333333333	0.4	0.02	NaN
500.0	0.4791666666666667	0.4	0.02	NaN
500.0	0.5	0.4	0.02	NaN
500.0	0.0	0.43333333333333335	0.02	0.07607404505599644
500.0	0.020833333333333332	0.43333333333333335	0.02	0.07434181091034792
500.0	0.041666666666666664	0.43333333333333335	0.02	0.07268894339250292
500.0	0.0625	0.43333333333333335	0.02	0.07110698436818981
500.0	0.08333333333333333	0.43333333333333335	0.02	0.06959146313098921
500.0	0.10416666666666667	0.43333333333333335	0.02	0.06814071309325977
500.0	0.125	0.43333333333333335	0.02	0.06675166406860966
500.0	0.14583333333333334	0.43333333333333335	0.02	0.0654181627337313
500.0	0.16666666666666666	0.43333333333333335	0.02	0.06414283450413973
500.0	0.1875	0.43333333333333335	0.02	0.0629194099294357
500.0	0.20833333333333334	0.43333333333333335	0.02	0.06174524829418218
500.0	0.22916666666666666	0.43333333333333335	0.02	0.06062278558844808
500.0	0.25	0.43333333333333335	0.02	0.05954705171681535
500.0	0.2708333333333333	0.43333333333333335	0.02	0.058521395796415354
500.0	0.2916666666666667	0.43333333333333335	0.02	0.05753946299629529
500.0	0.3125	0.43333333333333335	0.02	0.05660223647882703
500.0	0.3333333333333333	0.43333333333333335	0.02	0.055702945992451756
500.0	0.3541666666666667	0.43333333333333335	0.02	0.05489701737005791
500.0	0.375	0.43333333333333335	0.02	0.05595702761080616
500.0	0.3958333333333333	0.43333333333333335	0.02	0.20835727387043848
500.0	0.4166666666666667	0.43333333333333335	0.02	0.6069735292454816
500.0	0.4375	0.43333333333333335	0.02	NaN
500.0	0.4583333333333333	0.43333333333333335	0.02	NaN
500.0	0.4791666666666667	0.43333333333333335	0.02	NaN
500.0	0.5	0.43333333333333335	0.02	NaN
500.0	0.0	0.4666666666666667	0.02	0.07609120843467895
500.0	0.020833333333333332	0.4666666666666667	0.02	0.07436875866766114
500.0	0.041666666666666664	0.4666666666666667	0.02	0.07272035454336848
500.0	0.0625	0.4666666666666667	0.02	0.07114427492669541
500.0	0.08333333333333333	0.4666666666666667	0.02	0.06963955169607217
500.0	0.10416666666666667	0.4666666666666667	0.02	0.06819689554429093
500.0	0.125	0.4666666666666667	0.02	0.06681576102412472
500.0	0.14583333333333334	0.4666666666666667	0.02	0.06549140660762998
500.0	0.16666666666666666	0.4666666666666667	0.02	0.06422222277207992
500.0	0.1875	0.4666666666666667	0.02	0.06300657839680358
500.0	0.20833333333333334	0.4666666666666667	0.02	0.06184443370239513
500.0	0.22916666666666666	0.4666666666666667	0.02	0.06072898071377093
500.0	0.25	0.4666666666666667	0.02	0.05966671276896516
500.0	0.2708333333333333	0.4666666666666667	0.02	0.058650913870255526
500.0	0.2916666666666667	0.4666666666666667	0.02	0.057681090123091174
500.0	0.3125	0.4666666666666667	0.02	0.05674887765289129
500.0	0.3333333333333333	0.4666666666666667	0.02	0.05588292204789186
500.0	0.3541666666666667	0.4666666666666667	0.02	0.0562731220613383
500.0	0.375	0.4666666666666667	0.02	0.17325305340631392
500.0	0.3958333333333333	0.4666666666666667	0.02	0.5667181993381248
500.0	0.4166666666666667	0.4666666666666667	0.02	NaN
500.0	0.4375	0.4666666666666667	0.02	NaN
500.0	0.4583333333333333	0.4666666666666667	0.02	NaN
500.0	0.4791666666666667	0.4666666666666667	0.02	NaN
500.0	0.5	0.4666666666666667	0.02	NaN
500.0	0.0	0.5	0.02	0.07611114670981253
500.0	0.020833333333333332	0.5	0.02	0.07439856601090077
500.0	0.041666666666666664	0.5	0.02	0.07276000250969628
500.0	0.0625	0.5	0.02	0.07119359279938074
500.0	0.08333333333333333	0.5	0.02	0.06969402658514874
500.0	0.10416666666666667	0.5	0.02	0.0682606616602463
500.0	0.125	0.5	0.02	0.06688505798778606
500.0	0.14583333333333334	0.5	0.02	0.06556890796112685
500.0	0.16666666666666666	0.5	0.02	0.06431041924035723
500.0	0.1875	0.5	0.02	0.06310509614363596
500.0	0.20833333333333334	0.5	0.02	0.061950451131759614
500.0	0.22916666666666666	0.5	0.02	0.06084989423938487
500.0	0.25	0.5	0.02	0.05979711082927845
500.0	0.2708333333333333	0.5	0.02	0.05879420778919684
500.0	0.2916666666666667	0.5	0.02	0.05782720976431562
500.0	0.3125	0.5	0.02	0.05690843972860137
500.0	0.3333333333333333	0.5	0.02	0.05684557912047007
500.0	0.3541666666666667	0.5	0.02	0.14134786782134165
500.0	0.375	0.5	0.02	0.5254301450816015
500.0	0.3958333333333333	0.5	0.02	NaN
500.0	0.4166666666666667	0.5	0.02	NaN
500.0	0.4375	0.5	0.02	NaN
500.0	0.4583333333333333	0.5	0.02	NaN
500.0	0.4791666666666667	0.5	0.02	NaN
500.0	0.5	0.5	0.02	NaN
500.0	0.0	0.5333333333333333	0.02	0.07614054393608413
500.0	0.020833333333333332	0.5333333333333333	0.02	0.07443735293653227
500.0	0.041666666666666664	0.5333333333333333	0.02	0.07280569201635316
500.0	0.0625	0.5333333333333333	0.02	0.071248474249534
500.0	0.08333333333333333	0.5333333333333333	0.02	0.06975833224702957
500.0	0.10416666666666667	0.5333333333333333	0.02	0.06833047959412762
500.0	0.125	0.5333333333333333	0.02	0.06696531899062586
500.0	0.14583333333333334	0.5333333333333333	0.02	0.06565959062742405
500.0	0.16666666666666666	0.5333333333333333	0.02	0.0644087206066563
500.0	0.1875	0.5333333333333333	0.02	0.06321198820018542
500.0	0.20833333333333334	0.5333333333333333	0.02	0.06206994354648756
500.0	0.22916666666666666	0.5333333333333333	0.02	0.060981007359778926
500.0	0.25	0.5333333333333333	0.02	0.05993828917856869
500.0	0.2708333333333333	0.5333333333333333	0.02	0.05893746909405073
500.0	0.2916666666666667	0.5333333333333333	0.02	0.0579709988260162
500.0	0.3125	0.5333333333333333	0.02	0.057586118678289014
500.0	0.3333333333333333	0.5333333333333333	0.02	0.11401228111962335
500.0	0.3541666666666667	0.5333333333333333	0.02	0.48333279536356283
500.0	0.375	0.5333333333333333	0.02	NaN
500.0	0.3958333333333333	0.5333333333333333	0.02	NaN
500.0	0.4166666666666667	0.5333333333333333	0.02	NaN
500.0	0.4375	0.5333333333333333	0.02	NaN
500.0	0.4583333333333333	0.5333333333333333	0.02	NaN
500.0	0.4791666666666667	0.5333333333333333	0.02	NaN
500.0	0.5	0.5333333333333333	0.02	NaN
500.0	0.0	0.5666666666666667	0.02	0.07617790691046908
500.0	0.020833333333333332	0.5666666666666667	0.02	0.07448235309540557
500.0	0.041666666666666664	0.5666666666666667	0.02	0.07285923786427306
500.0	0.0625	0.5666666666666667	0.02	0.0713099301423024
500.0	0.08333333333333333	0.5666666666666667	0.02	0.06982782975317535
500.0	0.10416666666666667	0.5666666666666667	0.02	0.06840933592315802
500.0	0.125	0.5666666666666667	0.02	0.06705330594606389
500.0	0.14583333333333334	0.5666666666666667	0.02	0.06575634913066215
500.0	0.16666666666666666	0.5666666666666667	0.02	0.06451366250108641
500.0	0.1875	0.5666666666666667	0.02	0.06333171039417847
500.0	0.20833333333333334	0.5666666666666667	0.02	0.06220087301171271
500.0	0.22916666666666666	0.5666666666666667	0.02	0.06112109258421349
500.0	0.25	0.5666666666666667	0.02	0.06008260185293343
500.0	0.2708333333333333	0.5666666666666667	0.02	0.05907344137578101
500.0	0.2916666666666667	0.5666666666666667	0.02	0.05844903590602029
500.0	0.3125	0.5666666666666667	0.02	0.092483635685403
500.0	0.3333333333333333	0.5666666666666667	0.02	0.44061116852986576
500.0	0.3541666666666667	0.5666666666666667	0.02	NaN
